name,url,image,desc,message,rdesc,sequence,qabalah,hebrew_letter,meditation,cardtype
魔术师,the_magician,images/01.jpeg,新事物的开始。新手的好运。拥有各种工具和手段。运用超自然力量。用心灵力量创造现实。训练和获得实践技能。即兴创作。为他人展示或表演。,创造新的现实,"诡计、花招、欺骗。炫耀、假装。对身体、性欲或基本动机缺乏自我认知。由于缺乏经验或不准确而错失良机。",1,从Kether到Tiphareth,א,"风随着意思吹，你听见风的响声，却不晓得从哪里来，往哪里去；凡从圣灵生的，也是如此。（约翰福音 3:8）",major
女祭司,the_popess,images/02.jpeg,"结合理智与直觉的智慧。精神上的母亲。在男性世界中隐藏自己力量的女性。谦逊。秘密、隐藏之物、奥秘。得到某些暗示但大部分仍未知。现在无法给出明确答案。",懂得设立界限,需要在正常社会的传统背后隐藏我们的真实本性。对性和身体采取保守态度。情感阻滞。,2,从Kether到Chokmah,ב,"智慧建造房屋，凿成七根柱子。（箴言 9:1）",major
女皇,the_empress,images/03.jpeg,"丰饶、成长、生产力。在人工框架内的自然或人性触感。情商。保护和关怀。母性。强大的女性形象。强烈的女性认同。",凭直觉行动,"冲动行为，难以理性沟通的人。过度保护，过度介入他人生活。与强势母亲形象相关的问题。",3,从Kether到Binah,ג,"我是主的使女，情愿照你的话成就在我身上。（路加福音 1:38）",major
皇帝,the_emperor,images/04.jpeg,"实际和物质上的成就。与工作场所或收入来源相关的事务。权威和控制，指挥位置。保护性的父亲形象、赞助人或资助者。自信果断。军事事务。",展现领导力和责任感,"好战、暴力，试图用蛮力解决问题。独裁。可能的性虐待。难以应对强势父亲形象。否认和隐藏内在弱点。",4,Chokmah和Binah之间,ד,"奉主名来的是应当称颂的。（路加福音 13:35）",major
教皇,the_pope,images/05.jpeg,"教师、导师或顾问。教育和知识，学术专长。有组织的宗教、传统医学或心理学。精神导师。专家的咨询或治疗。婚姻。",尊重知识和教育,"过度遵循传统和过时的规范。官僚主义，压迫性的体制。虚伪，歧视。离婚。",5,从Tiphareth到Chokmah,ה,"我就是道路、真理、生命；若不藉着我，没有人能到父那里去。（约翰福音 14:6）",major
恋人,the_lover,images/06.jpeg,"爱情，恋爱关系。情感纠葛。需要做出选择，或从过去的影响中解脱。内心的倾向与天意相符。实际采取的小步骤是内心渴望的可见迹象。",追随内心的道路,"多人之间的复杂关系，如三角恋或母亲与妻子之间的紧张关系。犹豫，困境。对自己的感受和意愿感到困惑。",6,从Binah到Tiphareth,ו,"我──智慧以灵明为居所，又寻得知识和谋略...爱我的，我也爱他；恳切寻求我的，必寻得见。（箴言 7:12,17）",major
战车,the_chariot,images/07.jpeg,"胜利或成就使询问者处于强大且受保护的位置。野心、能量、前进的动力。公众荣誉。权力和高地位。",勇敢并获胜,"外在炫耀背后隐藏的内在弱点。傲慢、虚荣。过度保护、情感封闭。对自己目标的困惑。失去与人和现实的简单联系。",7,从Binah到Geburah,ז,"于是，魔鬼离了耶稣，有天使来伺候他。（马太福音 3:11）",major
正义,justice,images/08.jpeg,"法律和秩序，法律和法庭事务。公平和平衡的判决。发达的良知。理性，通过明确的规则和共同规范进行推理。在客观考虑之外的恩典和人性触感。",理性行事并遵循公认的规范,"小题大做的责任感、批判和评判的态度、内疚感。对自己和他人的压抑性控制。阻碍变化和进步的消极想法。",8,从Chesed到Chokmah,ח,"看哪，我的仆人，我所拣选、所亲爱、心里所喜悦的，我要将我的灵赐给他；他必将公理传给外邦。（马太福音 12:18）",major
隐士,the_hermit,images/09.jpeg,"寻求真理或精神理解。专注于明确的目标。谨慎，仔细检查。为有意义的事业而自我剥夺。对原则的忠诚，坚定的信仰。",寻找事物的本质,"封闭和隐居的态度。孤立、孤独。固执的想法。过度的谨慎和怀疑，寻找缺陷的批判方法。隐藏和否认的欲望。",9,Geburah和Chesed之间,ט,"因为引到生命的，那门是窄的，路是小的，找着的人也少。（马太福音 7:14）",major
命运之轮,the_wheel_of_fortune,images/10.jpeg,"环境和位置的变化。跌倒后的上升。赌博，相信变幻无常的运气。生命周期，圆圈的闭合。适应日常生活的例行公事。对前世的暗示。",接受生活的起起落落,上升期后的下降。危险潜伏在顶峰。在封闭的圈子里移动。反复无常的情绪变化。感觉无力影响自己的处境。,10,从Tiphareth到Chesed,י,"虚空的虚空，凡事都是虚空...已有的事后必再有；已行的事后必再行；日光之下并无新事。（传道书 1:2,9）",major
