name,url,image,desc,message,rdesc,sequence,qabalah,hebrew_letter,meditation,cardtype
The Magician,the_magician,images/01.jpeg,The start of something. Beginner’s luck. Having various tools and means at our disposal. Use of supernatural forces. Creating reality with mind power. Training and acquisition of practical skills. Improvisation. Display or show for other people.,create a new reality,"Trickery, sleight of hand, cheating. Showing off, pretending. Lack of self-awareness about body, sexuality, or basic motives. Near miss due to inexperience or inaccuracy.",1,from Kether to Tiphareth,&#1488;,"The wind blows where it wills, and you hear the sound of it
but you do not know whence it comes or whither it goes;
so it is with every one who is born of the Spirit.
(John 3:8)",major
The Popess,the_popess,images/02.jpeg,"Wisdom combining intellect and intuition. A spiritual mother. A woman hiding her strengths in a world of men. Modesty. Secrets, something hidden, mystery. Getting a hint of something which remains largely unknown. Impossible to give a definite answer now.",know how to set boundaries,Need to hide our true nature behind the conventions of normal society. Conservative approach to sex and the body. Emotional blockage.,2,from Kether to Chokmah,&#1489;,"Wisdom has built her house,
she has set up seven pillars.
(Proverbs 9:1)",major
The Empress,the_empress,images/03.jpeg,"Abundance, growth, productivity. Natural or human touch within an artificial framework. Emotional intelligence. Protection and care. Motherhood. A powerful female figure. Strong feminine identity.",act from the guts,"Impulsive behavior, someone difficult to reason with. Over-protectiveness, excessive involvement in the life of others. Problems with a strong mother figure.",3,from Kether to Binah,&#1490;,"Behold the handmaid of the Lord;
let it be unto me according to your word.
(Luke 1:38)",major
The Emperor,the_emperor,images/04.jpeg,"Practical and material achievements. Matters relating to the workplace or source of income. Authority and control, a commanding position. A protective father figure, patron or sponsor. Assertiveness. Military affairs.",show leadership and responsibility,"Belligerence, violence, trying to solve things by brute force. Dictatorship. Possibility of sexual abuse. Difficulty in coping with a dominant father figure. Denial and hiding of inner weaknesses.",4,between Chokmah and Binah,&#1491;,"Blessed is he who comes in the name of the Lord.
(Luke 13:35)",major
The Pope,the_pope,images/05.jpeg,"Teacher, instructor, or counselor. Education and knowledge, academic expertise. Organized religion, conventional medicine or psychology. Spiritual father. Consultation or treatment by a specialist. Marriage.",respect knowledge and education,"Excessive adhesion to conventions and outdated norms. Bureaucracy, an oppressive establishment. Hypocrisy, discrimination. Divorce.",5,from Tiphareth to Chokmah,&#1492;,"I am the way, and the truth, and the life.
No-one comes to the Father but by me.
(John 14:6)",major
The Lover,the_lover,images/06.jpeg,"Love, amorous relationship. Emotional entanglement. Need to make a choice, or to disengage oneself from past influences. Inclinations of the heart correspond to the will of heaven. Small steps actually taken are the visible signs of inner desire.",follow the path of the heart.,"Complex relationship between several people, e.g., a romantic triangle or a tension between mother and wife. Hesitation, quandary. Confusion as to one’s own feeling and will.",6,from Binah to Tiphareth,&#1493;,"I, Wisdom, dwell in prudence,
and I posess knowledge and discretion...
I love those who love me,
and those who seek me find me.
(Proverbs 7:12,17)",major
The Chariot,the_chariot,images/07.jpeg,"Victory or an achievement putting the querent in a strong and protected position. Ambition, energy, motivation to move forward. Public honor. Power and high status.",dare and win,"Inner weakness hidden behind external show-off. Arrogance, vanity. Over-protectiveness, emotional closure. Confusion about one’s goals. Losing the simple touch with people and reality.",7,from Binah to Geburah,&#1494;,"Then the devil left him, and behold,
Angels came and ministered to him.
(Matther 3:11)",major
Justice,justice,images/08.jpeg,"Law and order, legal and court issues. A fair and balanced judgment. A developed conscience. Rationality, reasoning by clear rules and common norms. Touch of grace and humanity beyond the objective considerations.",act with reason and by the accepted norms,"Petty accountability, a critical and judgmental attitude, guilt feelings. Repressive control of self and of others. Negative ideas blocking change and advance.",8,from Chesed to Chokmah,&#1495;,"Behold my servant, whom I have chosen; my beloved,
in whom my soul is well pleased:
I will put my spirit upon him,
and he shall show justice to the gentiles.
(Matthew 12:18)",major
The Hermit,the_hermit,images/09.jpeg,"A quest for truth or for spiritual understanding. Concentrating on a clear purpose. Caution, careful examination. Self-privation for the sake of a meaningful cause. Loyalty to principles, strong faith.",look for the essence of things,"A closed and reclusive attitude. Isolation, loneliness. Fixed ideas. Excessive caution and suspicion, a critical approach looking for defects. Hidden and denied desires.",9,between Geburah and Chesed,&#1496;,"For the gate is narrow and the way is hard that leads to life
and those who find it are few.
(Matthew 7:14)",major
The Wheel of Fortune,the_wheel_of_fortune,images/10.jpeg,"Change in circumstances and position. A rise after a fall. Gambling, putting faith in capricious luck. Life cycles, closure of circles. Adapting to the routine of everyday life. A hint to previous incarnations.",accept life’s ups and downs,A decline after a period of rising. Danger lurks at the summit. Moving in a closed circle. Capricious mood changes. Feeling powerless to affect one’s situation.,10,from Tiphareth to Chesed,&#1497;,"Vanity of vanities, all is vanity...
What has been is what will be,
and what has been done is what will be done;
and there is nothing new under the sun.
(Ecclesiastes 1:2,9)",major
